"Climate change adaptation planning with peri-urban local government in victoria, australia","10.1007/978-3-319-28112-4\_24"
"Volcanic soil erosion and degradation in central american continental countries and impact on humans' health",NA
"Strengthening local capacity in disaster risk reduction (case study: disaster resilient village in batu city, east java, indonesia)",NA
"Improved channel reduces flash flooding risk for colorado town",NA
"Mining industry in northern mindanao: its environmental, social and health impact toward responsible mining",NA
"Smart cities and cultural heritage protecting historical urban environments from climate change",NA
"A modified weighted mixture model for the interpretation of spatial and temporal changes in the microbial communities in drinking water reservoirs using compositional phospholipid fatty acid data","10.1016/J.TALANTA.2016.07.006"
"Episodic bedrock erosion by gully-head migration, colorado high plains, usa","10.1002/ESP.3929"
"Impacts of a flash flood on drinking water quality: case study of areas most affected by the 2012 beijing flood","10.1016/J.HELIYON.2016.E00071"
"Variability of extreme hydro-climate parameters in the north-eastern region of united arab emirates","10.1016/J.PROENG.2016.07.563"
"Consent in escrow","10.1093/JLB/LSU031"
"Urban risk and reduction approaches in pakistan","10.1007/978-4-431-55369-4\_16"
"Desertification risk reduction approaches in pakistan","10.1007/978-4-431-55369-4\_9"
"Analysis and simulation of heat index for developing a heat alert system over thailand",NA
"Analysis of regional development in connection with multi disaster susceptibility in bengkulu province","10.1016/J.SBSPRO.2014.07.327"
"Impacts of climate change and hydrological hazards on monsoon crop patterns in the lesser himalaya: a watershed based study","10.1007/S13753-012-0010-6"
"An assessment of the spatial and temporal distribution of natural hazards in central africa",NA
"The use of biomarkers in bivalve molluscs for the evaluation of marine environment pollution",NA
"Overloading vulnerability of voip networks","10.1109/DSN.2009.5270310"
"Leaf morphoanatomy of the rheophyte raulinoa echinata r. S. Cowan - rutaceae","10.1590/S0102-33062008000300010"
"Salinity control in the absence of a drainage system under semi-arid environments","10.17660/ACTAHORTIC.2002.573.19"
"Invited lecture: risk zonation and loss accumulation analysis for floods",NA
"Driving into floodwater: a systematic review of risks, behaviour and mitigation","10.1016/J.IJDRR.2018.07.007"
"Risk propagation in spate irrigation systems: a case study from sudan","10.1002/IRD.2218"
"Implementation and adaptation of a macro-scale method to assess and monitor direct economic losses caused by natural hazards","10.1016/J.IJDRR.2018.03.008"
"Estimating the snowfall limit in alpine and pre-alpine valleys: a local evaluation of operational approaches","10.1016/J.ATMOSRES.2018.01.016"
"The upper permian cadeby formation in the boston spa area, west yorkshire, uk","10.1144/PYGS2017-377"
"Climate impact on drinking water protected areas",NA
"Earth observation activities and future perspectives in egypt","10.5194/ISPRS-ARCHIVES-XLII-3-W2-57-2017"
"Nature-based solutions and buildings - the power of surfaces to help cities adapt to climate change and to deliver biodiversity","10.1007/978-3-319-56091-5\_10"
"Process fundingcommunity understanding of tsunami risk and warnings in australia",NA
"Estimation of idf curves of extreme rainfall by simple scaling in northern oueme valley, benin republic (west africa)","10.15446/ESRJ.V20N1.49405"
"Wireless monitoring of scour and re-deposited sediment evolution at bridge foundations based on soil electromagnetic properties","10.1088/0964-1726/24/12/125029"
"Effect of reservoir side slopes on dam-break flood waves","10.1080/19942060.2015.1039630"
"Detecting shrew http flood attacks for flash crowds",NA
"Lightning hazards to human societies in a changing climate","10.1088/1748-9326/AAEA86"
"Modelling spatiotemporal dynamics of large wood recruitment, transport, and deposition at the river reach scale during extreme floods","10.3390/W10091134"
"Improving estuary models by reducing uncertainties associated with river flows","10.1016/J.ECSS.2018.02.015"
"Glacier lake inventory of himachal pradesh",NA
"Sedimentology and preservation of aeolian sediments on steep terrains: incipient sand ramps on the atacama coast (northern chile)","10.1016/J.GEOMORPH.2017.02.016"
"An investigation of local and national nws warning outbreaks for severe convective events","10.15191/NWAJOM.2017.0502"
"Radioactive seepage through groundwater flow from the uranium mines, namibia","10.3390/HYDROLOGY4010011"
"Water resource management in karstic catchments: the case of the asso torrent basin (southern italy)","10.1007/S12665-016-5678-2"
"Landscape vulnerability and rehabilitation issues: a study of hydropower projects in garhwal region, himalaya","10.1007/S11069-014-1430-Y"
"Development of smart rainwater tanks",NA
"Urban river recovery inspired by nature-based solutions and biophilic design in albufeira, portugal","10.3390/LAND7040141"
"A unique value function for an optimal control problem of irrigation water intake from a reservoir harvesting flash floods","10.1007/S00477-018-1527-Z"
"The behavior of squall lines in horizontally heterogeneous coastal environments","10.1175/JAS-D-17-0248.1"
"Signs of climate warming through the eyes of yak herders in northern bhutan","10.1659/MRD-JOURNAL-D-17-00094.1"
"Modified pervious concrete containing recycled asphalt pavement and waste tire rubber","10.1088/1757-899X/371/1/012011"
"Periphytic diatoms of the mediterranean karst spring sa vena (su gologone system, sardinia, italy): relationships with environmental variables and effects of an extreme flash flood","10.1080/20442041.2018.1457851"
"Quantify resilience enhancement of uts through exploiting connected community and internet of everything emerging technologies","10.1145/3137572"
"Effect of substrate on the risk of being washed away by floods for the groundhoppers tetrix subulata and tetrix tenuicornis (orthoptera: tetrigidae)","10.1002/RRA.3167"
"Trade-offs in linking adaptation and mitigation in the forests of the congo basin","10.1007/S10113-016-1080-6"
"Geological conservation through risk mitigation and public awareness at the siq of petra, jordan","10.1007/978-3-319-59469-9\_45"
"Bioaugmentation mitigates the impact of estrogen on coliform-grazing protozoa in slow sand filters","10.1021/ACS.EST.5B05027"
"Trace elements distributions at datoko-shega artisanal mining site, northern ghana","10.1007/S10653-015-9705-0"
"An algorithm for converting weather radar data into gis polygons and its application in severe weather warning systems","10.1080/13658816.2014.898767"
"Mapping conservation priorities in the mediterranean: the issue of non-native freshwater fish introductions","10.1111/J.1365-2400.2012.00853.X"
"Impact of flash flood events on the distribution of organic pollutants in surface sediments from a mediterranean coastal lagoon (mar menor, se spain)","10.1007/S11356-015-4628-Y"
"Linear regression models for liquid and plastic limit estimation in alpine soils",NA
"Meta-analysis of field-saturated hydraulic conductivity recovery following wildland fire: applications for hydrologic model parameterization and resilience assessment","10.1002/HYP.11288"
"Valuing environmental services provided by local stormwater management","10.1002/2016WR019776"
"Genetic and life-history consequences of extreme climate events","10.1098/RSPB.2016.2118"
"Soil fauna across central european sandstone ravines with temperature inversion: from cool and shady to dry and hot places","10.1016/J.APSOIL.2013.11.014"
"Neoproterozoic tsunamiite: upper bhander sandstone, central india","10.1016/J.SEDGEO.2011.04.012"
"Mental health and psychosocial aspects of disaster preparedness in bhutan","10.1080/09540260601037979"
"Field performance of unvented cathedralized (uc) attics in the usa","10.1177/1744259105057695"
"Impact of infiltration process modeling on soil water content simulations for irrigation management","10.3390/W10070850"
"Drop size distribution climatology in cevennes-vivarais region, france","10.3390/ATMOS8120233"
"Early chemical and ecotoxicological responses of the varano lagoon (se italy) to a flood event","10.1016/J.ECOENV.2017.06.025"
"Flash floods, hydro-geomorphic response and risk management","10.1016/J.JHYDROL.2016.08.005"
"Resilientscapes: perception and resilience to reduce vulnerability in the island of madeira","10.1016/S2212-567104100970-8"
"Geomorphological hazard and cultural heritage: a case-study of the roman bridges in the finalese karstic area (western liguria - italy)",NA
"Environmental geological assessment of a solid waste disposal site: a case study in sivas, turkey","10.1007/S00254-006-0241-1"
"Restoration of burned areas in forest management plans",NA
"Gis and social vulnerability analysis",NA
"Inherent vulnerability assessment of rural households based on socio-economic indicators using categorical principal component analysis: a case study of kimsar region, uttarakhand","10.1016/J.ECOLIND.2017.10.014"
"Physico-chemical tuning of palaeogeographic shifts: bhuj formation, kutch, india","10.1016/J.MARPETGEO.2016.10.003"
"Safety study of a wind-solar hybrid renewable hydrogen refuelling station in china","10.1016/J.IJHYDENE.2016.05.180"
"Planning for climate change, why does it matter? (From phenomenon to integrative action plan)","10.1016/J.SBSPRO.2015.12.060"
"Climate change and rural livelihoods-adaptation and vulnerability in rajasthan",NA
"Social and gender perspectives in rice breeding for submergence tolerance in southeast asia","10.1017/S0014479713000409"
"Engineering and environmental geology of granada and its metropolitan area (spain)","10.2113/GSEEGEOSCI.18.3.217"
"Human factors: predictors of avoidable wilderness accidents?","10.7196/SAMJ.2017.V107I8.12677"
"Morphological impacts of flow events of varying magnitude on ephemeral channels in a semiarid region","10.1016/J.GEOMORPH.2015.07.014"
